Default Parameters;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error;
0,65;0,1;0,65;0,098;0;0,000002;0,002;
0,65;0,15;0,646;0,148;-0,000007;0,000012;0,004472;
0,65;0,2;0,649;0,2;0;0,000003;0,001;
0,65;0,25;0,65;0,247;0,000007;0,000002;0,003;
0,65;0,3;0,649;0,3;0;0,000003;0,001;
0,65;0,35;0,649;0,348;0;0,000004;0,002236;
0,65;0,4;0,65;0,402;0;-0,000004;0,002;
0,65;0,45;0,649;0,448;0;0,000008;0,002236;
0,65;0,5;0,651;0,499;0;-0,000005;0,001414;
0,7;0;0,7;0,001;0;0,000001;0,001;
0,7;0,05;0,699;0,054;0,000007;0;0,004123;
0,7;0,1;0,699;0,099;0;0,000004;0,001414;
0,7;0,15;0,702;0,151;0;-0,000001;0,002236;
0,7;0,2;0,7;0,196;0;0,000004;0,004;
0,7;0,25;0,698;0,25;0;0,000005;0,002;
0,7;0,3;0,693;0,301;0;0,000016;0,007071;
0,7;0,35;0,698;0,35;0;0,000008;0,002;
0,7;0,4;0,699;0,401;0;0;0,001414;
0,7;0,45;0,696;0,451;0;0,000014;0,004123;
0,7;0,5;0,703;0,499;0;-0,000015;0,003162;
0,75;0;0,75;0,003;0;-0,000004;0,003;
0,75;0,05;0,749;0,052;0;-0,000001;0,002236;
0,75;0,1;0,75;0,103;0;-0,000002;0,003;
0,75;0,15;0,749;0,148;0;0,000005;0,002236;
0,75;0,2;0,753;0,203;0;-0,000011;0,004243;
0,75;0,25;0,753;0,253;0;-0,000008;0,004243;
0,75;0,3;0,747;0,302;0;0,000001;0,003606;
0,75;0,35;0,749;0,352;0;-0,000001;0,002236;
0,75;0,4;0,754;0,4;0;-0,000008;0,004;
0,75;0,45;0,749;0,448;0;0,000005;0,002236;
0,75;0,5;0,75;0,497;0;0,000001;0,003;
0,8;0;0,8;0;-0,000021;-0,000001;0;
0,8;0,05;0,799;0,05;0;0,000001;0,001;
0,8;0,1;0,8;0,101;0;-0,000005;0,001;
0,8;0,15;0,8;0,151;0;-0,000003;0,001;
0,8;0,2;0,797;0,2;0;0,000005;0,003;
0,8;0,25;0,798;0,25;0;0,000004;0,002;
0,8;0,3;0,8;0,306;0;-0,000019;0,006;
0,8;0,35;0,798;0,35;0;0,000005;0,002;
0,8;0,4;0,799;0,399;0;0,000005;0,001414;
0,8;0,45;0,797;0,449;0;0,000008;0,003162;
0,8;0,5;0,799;0,5;0;0,000001;0,001;
SNR;;;;;6,41711E-08;0,002567369;
x; y; x estimate; y estimate; sync error; TDOA error; position error; SNR
0,5;0,25;0,4;0,25;-14,996354;0,000328;0,1;40
0,5;0,25;0,4;0,25;-9,995333;0,000328;0,1;42
0,5;0,25;0,8;0,5;2,337118;-14,992652;0,390512;44
0,5;0,25;0,397;0,252;-2,333785;0,000334;0,103019;46
0,5;0,25;0,8;0,5;-4,660903;-0,002631;0,390512;48
0,5;0,25;0,8;0,5;-2,330451;-0,002638;0,390512;50
0,5;0,25;0,499;0,246;0;0,000015;0,004123;52
0,5;0,25;0,505;0,254;0;-0,000027;0,006403;54
0,5;0,25;0,498;0,25;0;0,000008;0,002;56
0,5;0,25;0,498;0,25;0;0,000008;0,002;58
0,5;0,25;0,499;0,246;0;0,000015;0,004123;60
0,5;0,25;0,498;0,25;0;0,000008;0,002;62
0,5;0,25;0,496;0,254;0;0,000001;0,005657;64
0,5;0,25;0,499;0,253;0;0,000001;0,003162;66
0,5;0,25;0,498;0,25;0;0,000008;0,002;68
0,5;0,25;0,498;0,25;0;0,000008;0,002;70
0,5;0,25;0,502;0,25;0;-0,000006;0,002;72
0,5;0,25;0,5;0,247;0;0,000001;0,003;74
0,5;0,25;0,498;0,25;0;0,000008;0,002;76
0,5;0,25;0,498;0,25;0;0,000008;0,002;78
0,5;0,25;0,499;0,253;0;0,000001;0,003162;80
Cutoff Frequency;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error; cutoff frequeny
0,5;0,25;0;0;-13,994333;4,005966;0,559017;3000
0,5;0,25;0,586;0,158;0,000201;-0,000193;0,125936;4000
0,5;0,25;0,498;0,25;0;0,000008;0,002;5000
0,5;0,25;0,499;0,246;0;0,000015;0,004123;6000
0,5;0,25;0,498;0,25;0;0,000008;0,002;7000
0,5;0,25;0,496;0,254;0;0,000001;0,005657;8000
0,5;0,25;0,498;0,25;0;0,000008;0,002;9000
0,5;0,25;0,498;0,25;0;0,000008;0,002;10000
0,5;0,25;0,498;0,25;0;0,000008;0,002;11000
0,5;0,25;0,498;0,25;0;0,000008;0,002;12000
0,5;0,25;0,498;0,25;0;0,000008;0,002;13000
0,5;0,25;0,498;0,25;0;0,000008;0,002;14000
0,5;0,25;0,498;0,25;0;0,000008;0,002;15000
0,5;0,25;0,498;0,25;0;0,000008;0,002;16000
0,5;0,25;0,498;0,25;0;0,000008;0,002;17000
0,5;0,25;0,498;0,25;0;0,000008;0,002;18000
0,5;0,25;0,498;0,25;0;0,000008;0,002;19000
0,5;0,25;0,498;0,25;0;0,000008;0,002;20000
Latency;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error; latency
0,5;0,25;0,498;0,25;0;0,000008;0,002;0,001
0,5;0,25;0,505;0,254;0;-0,000027;0,006403;0,002
0,5;0,25;0,5;0,247;0;0,000001;0,003;0,004
0,5;0,25;0,498;0,25;0;0,000008;0,002;0,008
0,5;0,25;0,498;0,25;-0,000007;0,000008;0,002;0,016
0,5;0,25;0,498;0,25;0;0,000008;0,002;0,032
0,5;0,25;0,501;0,243;0;0,000008;0,007071;0,064
0,5;0,25;0,498;0,25;0;0,000008;0,002;0,128
0,5;0,25;0,498;0,25;0;0,000008;0,002;0,256
0,5;0,25;0,498;0,25;0;0,000008;0,002;0,512
0,5;0,25;0,498;0,25;0;0,000008;0,002;1,024
Calibration Signal Position Error Factor;;;;;;;
x; y; x estimate; y estimate; sync error; TDOA error; position error; calibration signal position error factor
0,5;0,25;0,503;0,246;0;0,000001;0,005;0,001
0,5;0,25;0,499;0,253;0;0,000001;0,003162;0,002
0,5;0,25;0,494;0,246;-0,000028;0,000029;0,007211;0,003
0,5;0,25;0,498;0,25;-0,000028;0,000008;0,002;0,004
0,5;0,25;0,493;0,243;-0,000056;0,000036;0,009899;0,005
0,5;0,25;0,496;0,24;-0,000028;0,000029;0,01077;0,006
0,5;0,25;0,506;0,25;0,000007;-0,00002;0,006;0,007
0,5;0,25;0,506;0,25;0,000028;-0,00002;0,006;0,008
0,5;0,25;0,494;0,257;-0,000028;0,000008;0,00922;0,009
0,5;0,25;0,51;0,243;0,000028;-0,00002;0,012207;0,01
0,5;0,25;0,501;0,243;-0,000028;0,000008;0,007071;0,011
0,5;0,25;0,467;0,229;-0,000132;0,000147;0,039115;0,012
0,5;0,25;0,519;0,243;0,000063;-0,000047;0,020248;0,013
0,5;0,25;0,492;0,23;-0,000069;0,000064;0,021541;0,014
0,5;0,25;0,493;0,243;-0,000028;0,000036;0,009899;0,015
0,5;0,25;0,481;0,239;-0,000083;0,000084;0,021954;0,016
0,5;0,25;0,513;0,24;0,000028;-0,000027;0,016401;0,017
0,5;0,25;0,489;0,264;-0,000028;0,000008;0,017804;0,018
